sourcestr3 - entity1
CR-MS-EXP-005 EN 00 - Preparation of various terminal works	CR MS EXP 001;CR MS EXP 001;3026,13;CR MS EXP 003;CR MS EXP 003;2997,13;GS MS ENG 002;GS MS ENG 002;3106,13;CR MS HSEQ 202;CR MS HSEQ 202;2956,14	28	28	8.85 ms	0.13 ms	0
GS MS ELE 001 EN 00 - Electrical Design	GS MS ELE 001;GS MS ELE 001;7932,13;GS MS ELE 102;GS MS ELE 102;7499,13;GS MS PVV 101;GS MS PVV 101;7534,13;GS MS PVV 105;GS MS PVV 105;7577,13;GS MS PVV 111;GS MS PVV 111;7622,13
GS MS ELE 102 EN 00 - Lightning Protection	GS MS COR 101;GS MS COR 101;6843,13;GS MS ELE 001;GS MS ELE 001;6877,13;GS MS ELE 102;GS MS ELE 102;7299,13;GS MS PVV 002;GS MS PVV 002;6909,13;GS MS PVV 101;GS MS PVV 101;6937,13
GS MS ELE 001 FR 00 - Electricité	GS MS ELE 001;GS MS ELE 001;8497,13
GS MS ENG 002 EN 00 - Engineering Diagrams	GS MS ELE 001;GS MS ELE 001;4693,13;GS MS INS 001;GS MS INS 001;4749,13
GS MS ENG 003 EN 00 - Equipment Piping Lines and Instruments Tagging	GS MS ENG 002;GS MS ENG 002;3804,13;GS MS PVV 001;GS MS PVV 001;3839,13
GS MS ELE 102 FR 00 - Protection contre la foudre	GS MS ELE 102;GS MS ELE 102;8159,13
GS MS ENG 101 EN 00 - Layout and design rules	GM MS ENG 001;GM MS ENG 001;5620,13;GS MS ENG 101;GS MS ENG 101;5954,13;GS MS ISL 002;GS MS ISL 002;5333,13;GS MS PVV 101;GS MS PVV 101;5360,13;GS MS HSEQ 312;GS MS HSEQ 312;5258,14
GS MS ENG 101 FR 00 - Règles d'implantation et de conception	GM MS ENG 001;GM MS ENG 001;6498,13;GS MS ENG 101;GS MS ENG 101;6855,13;GS MS ISL 002;GS MS ISL 002;6153,13;GS MS PVV 101;GS MS PVV 101;6179,13;GS MS HSEQ 312;GS MS HSEQ 312;5840,14;GS MS HSEQ 313;GS MS HSEQ 313;5935,14;GS MS HSEQ 314;GS MS HSEQ 314;6019,14;GS MS HSEQ 413;GS MS HSEQ 413;6107,14
GS MS INS 012 EN 00 - Fire and Hydrocarbon detection systems	GS MS ELE 001;GS MS ELE 001;16401,13;GS MS INS 011;GS MS INS 011;16433,13;GS MS INS 101;GS MS INS 101;16467,13;GS MS HSEQ 333;GS MS HSEQ 333;16513,14
GS MS ISL 002 EN 00 - Fireproofing	GS MS COR 001;GS MS COR 001;12746,13;GS MS ECP 001;GS MS ECP 001;12770,13;GS MS ISL 002;GS MS ISL 002;13231,13;GS MS PVV 011;GS MS PVV 011;12853,13;GS MS HSEQ 132;GS MS HSEQ 132;12808,14
GS MS PVV 002 EN 00 - Piping Design	GS MS COR 001;GS MS COR 001;10395,13;GS MS ECP 001;GS MS ECP 001;10463,13;GS MS INS 001;GS MS INS 001;10501,13;GS MS MEC 001;GS MS MEC 001;10538,13;GS MS PVV 001;GS MS PVV 001;10584,13,60075,13;GS MS PVV 002;GS MS PVV 002;10851,13,53667,13,56119,13,58182,13,58901,13,61095,13,64063,13;GS MS PVV 003;GS MS PVV 003;10873,13;GS MS PVV 005;GS MS PVV 005;10923,13,60135,13;GS MS PVV 011;GS MS PVV 011;10943,13;GS MS STR 001;GS MS STR 001;10964,13
GS MS PVV 005 EN 00 - Hoses	GS MS PVV 001;GS MS PVV 001;7888,13;GS MS PVV 002;GS MS PVV 002;7917,13;GS MS PVV 005;GS MS PVV 005;8182,13
GS MS STR 001 EN 00 - Steel Structures	GS MS COR 001;GS MS COR 001;21471,13;GS MS STR 001;GS MS STR 001;21777,13
LI MS ISL 002 EN 00 - Approved Sprayed Coatings for Fireproofing	GS MS ISL 002;GS MS ISL 002;1770,13
LI MS PVV 001 EN 00 - Approved Piping Gaskets and Valve Packing	GS MS PVV 001;GS MS PVV 001;2565,13
GS MS STR 001 FR 00 - Structures Métalliques	GS MS COR 001;GS MS COR 001;22926,13;GS MS STR 001;GS MS STR 001;23212,13
LI MS PVV 011 EN 00 - Valves and check valves approved Fire Safe	GS MS PVV 011;GS MS PVV 011;2930,13
